site,time_utc,time_local,temperature_c
B23,2023-07-31 10:29:59,2023-07-31 00:29:59,26.6877
B23,2023-07-31 10:31:59,2023-07-31 00:31:59,26.6952
B23,2023-07-31 10:33:59,2023-07-31 00:33:59,26.6937
B23,2023-07-31 10:35:59,2023-07-31 00:35:59,26.7017
B23,2023-07-31 10:37:59,2023-07-31 00:37:59,26.6931
B23,2023-07-31 10:39:59,2023-07-31 00:39:59,26.6957
B23,2023-07-31 10:41:59,2023-07-31 00:41:59,26.6846
B23,2023-07-31 10:43:59,2023-07-31 00:43:59,26.6735
B23,2023-07-31 10:45:59,2023-07-31 00:45:59,26.6768
B23,2023-07-31 10:47:59,2023-07-31 00:47:59,26.6819
B23,2023-07-31 10:49:59,2023-07-31 00:49:59,26.6661
B23,2023-07-31 10:51:59,2023-07-31 00:51:59,26.678
B23,2023-07-31 10:53:59,2023-07-31 00:53:59,26.6613
B23,2023-07-31 10:55:59,2023-07-31 00:55:59,26.6689
B23,2023-07-31 10:57:59,2023-07-31 00:57:59,26.6599
B23,2023-07-31 10:59:59,2023-07-31 00:59:59,26.6549
B23,2023-07-31 11:01:59,2023-07-31 01:01:59,26.6542
B23,2023-07-31 11:03:59,2023-07-31 01:03:59,26.6397
B23,2023-07-31 11:05:59,2023-07-31 01:05:59,26.6573
B23,2023-07-31 11:07:59,2023-07-31 01:07:59,26.6484
B23,2023-07-31 11:09:59,2023-07-31 01:09:59,26.6561
B23,2023-07-31 11:11:59,2023-07-31 01:11:59,26.643
B23,2023-07-31 11:13:59,2023-07-31 01:13:59,26.6362
B23,2023-07-31 11:15:59,2023-07-31 01:15:59,26.6248
B23,2023-07-31 11:17:59,2023-07-31 01:17:59,26.6423
B23,2023-07-31 11:19:59,2023-07-31 01:19:59,26.64
B23,2023-07-31 11:21:59,2023-07-31 01:21:59,26.6353
B23,2023-07-31 11:23:59,2023-07-31 01:23:59,26.6697
B23,2023-07-31 11:25:59,2023-07-31 01:25:59,26.6706
B23,2023-07-31 11:27:59,2023-07-31 01:27:59,26.6753
B23,2023-07-31 11:29:59,2023-07-31 01:29:59,26.6821
B23,2023-07-31 11:31:59,2023-07-31 01:31:59,26.6787
B23,2023-07-31 11:33:59,2023-07-31 01:33:59,26.6704
B23,2023-07-31 11:35:59,2023-07-31 01:35:59,26.6711
B23,2023-07-31 11:37:59,2023-07-31 01:37:59,26.6622
B23,2023-07-31 11:39:59,2023-07-31 01:39:59,26.6653
B23,2023-07-31 11:41:59,2023-07-31 01:41:59,26.6782
B23,2023-07-31 11:43:59,2023-07-31 01:43:59,26.6507
B23,2023-07-31 11:45:59,2023-07-31 01:45:59,26.6684
B23,2023-07-31 11:47:59,2023-07-31 01:47:59,26.6645
B23,2023-07-31 11:49:59,2023-07-31 01:49:59,26.6422
B23,2023-07-31 11:51:59,2023-07-31 01:51:59,26.6477
B23,2023-07-31 11:53:59,2023-07-31 01:53:59,26.6329
B23,2023-07-31 11:55:59,2023-07-31 01:55:59,26.6174
B23,2023-07-31 11:57:59,2023-07-31 01:57:59,26.617
B23,2023-07-31 11:59:59,2023-07-31 01:59:59,26.6059
B23,2023-07-31 12:01:59,2023-07-31 02:01:59,26.6017
B23,2023-07-31 12:03:59,2023-07-31 02:03:59,26.6017
B23,2023-07-31 12:05:59,2023-07-31 02:05:59,26.5797
B23,2023-07-31 12:07:59,2023-07-31 02:07:59,26.5866
B23,2023-07-31 12:09:59,2023-07-31 02:09:59,26.5769
B23,2023-07-31 12:11:59,2023-07-31 02:11:59,26.5691
B23,2023-07-31 12:13:59,2023-07-31 02:13:59,26.5552
B23,2023-07-31 12:15:59,2023-07-31 02:15:59,26.5542
B23,2023-07-31 12:17:59,2023-07-31 02:17:59,26.5249
B23,2023-07-31 12:19:59,2023-07-31 02:19:59,26.5112
B23,2023-07-31 12:21:59,2023-07-31 02:21:59,26.5175
B23,2023-07-31 12:23:59,2023-07-31 02:23:59,26.5137
B23,2023-07-31 12:25:59,2023-07-31 02:25:59,26.5093
B23,2023-07-31 12:27:59,2023-07-31 02:27:59,26.5022
B23,2023-07-31 12:29:59,2023-07-31 02:29:59,26.4822
B23,2023-07-31 12:31:59,2023-07-31 02:31:59,26.492
B23,2023-07-31 12:33:59,2023-07-31 02:33:59,26.4921
B23,2023-07-31 12:35:59,2023-07-31 02:35:59,26.5034
B23,2023-07-31 12:37:59,2023-07-31 02:37:59,26.4979
B23,2023-07-31 12:39:59,2023-07-31 02:39:59,26.4824
B23,2023-07-31 12:41:59,2023-07-31 02:41:59,26.4807
B23,2023-07-31 12:43:59,2023-07-31 02:43:59,26.4711
B23,2023-07-31 12:45:59,2023-07-31 02:45:59,26.4688
B23,2023-07-31 12:47:59,2023-07-31 02:47:59,26.4684
B23,2023-07-31 12:49:59,2023-07-31 02:49:59,26.488
B23,2023-07-31 12:51:59,2023-07-31 02:51:59,26.4894
B23,2023-07-31 12:53:59,2023-07-31 02:53:59,26.474
B23,2023-07-31 12:55:59,2023-07-31 02:55:59,26.4806
B23,2023-07-31 12:57:59,2023-07-31 02:57:59,26.4825
B23,2023-07-31 12:59:59,2023-07-31 02:59:59,26.4732
B23,2023-07-31 13:01:59,2023-07-31 03:01:59,26.4793
B23,2023-07-31 13:03:59,2023-07-31 03:03:59,26.5001
B23,2023-07-31 13:05:59,2023-07-31 03:05:59,26.5058
B23,2023-07-31 13:07:59,2023-07-31 03:07:59,26.5127
B23,2023-07-31 13:09:59,2023-07-31 03:09:59,26.5021
