Date_french_format,Number,Stage,Timing,Site,Transect,ID,Replicate,Data,Backup,Quantity_DNA._RNA._shield_Data.ml.,Quantity_DNA._RNA._shield_backup.ml.,Box_name_Data,Box_name_backup,Freezer_US_tubes,Freezer_backup_moorea,Wirlpak,Picture,Picture_name,Recruit_size_cm2,Red_standard,Green_standard,Blue_standard,Red_coral,Green_coral,Blue_coral,Scleractinian.corals,Macroalgae,Crustose.coralline.algae,Algal.turf,Millepora,Sand,dalle_coralienne,Others,Note1,gDNA.Extraction.Date,gDNA.Extraction.Plate,Plate.Well,Priority,Haplotype ,Note2,Extraction.Notebook.Link
21/02/2023,1313,Adult,Pre_bleach,S1,T3,POC_ID,2,1,1,0.5,0.5,Site_1,Site_1_backup,_20__C,_40_up,YES,YES,1313_S1_T3,NA,NA,,NA,NA,NA,NA,0,0,0,0,0,0,0,0,,,Plate002,G11,,,,https://hputnam.github.io/Putnam_Lab_Notebook/PocID_COTS_RAPID_Plate002_003/
21/02/2023,1314,NA,Pre_bleach,S1,T3,POC_ID,2,1,1,0.5,0.5,Site_1,Site_1_backup,_20__C,_40_up,YES,YES,1314_S1_T3,NA,NA,,NA,NA,NA,NA,0,0,0,0,0,0,0,0,,,Plate002,A7,,,,https://hputnam.github.io/Putnam_Lab_Notebook/PocID_COTS_RAPID_Plate002_003/
21/02/2023,1315,Recruit,Pre_bleach,S1,T3,POC_ID,2,1,1,0.5,0.5,Site_1,Site_1_backup,_20__C,_40_up,YES,YES,1315_S1_T3,6.632,NA,,NA,NA,NA,NA,0,0,0,1,0,0,0,0,,,Plate002,F5,,,,https://hputnam.github.io/Putnam_Lab_Notebook/PocID_COTS_RAPID_Plate002_003/
21/02/2023,1347,Recruit,Pre_bleach,S1,T3,POC_ID,2,1,1,0.5,0.5,Site_1,Site_1_backup,_20__C,_40_up,YES,YES,1347_S1_T3,2.875,NA,,NA,NA,NA,NA,0,1,0,0,0,0,0,0,,,Plate002,A9,,,,https://hputnam.github.io/Putnam_Lab_Notebook/PocID_COTS_RAPID_Plate002_003/
21/02/2023,1281,Adult,Pre_bleach,S1,T4,POC_ID,2,1,1,0.5,0.5,Site_1,Site_1_backup,_20__C,_40_up,YES,YES,1281_S1_T4,NA,NA,,NA,NA,NA,NA,0,0,0,0,0,0,0,0,,,Plate002,A8,,,,https://hputnam.github.io/Putnam_Lab_Notebook/PocID_COTS_RAPID_Plate002_003/
21/02/2023,1283,Adult,Pre_bleach,S1,T4,POC_ID,2,1,1,0.5,0.5,Site_1,Site_1_backup,_20__C,_40_up,YES,YES,1283_S1_T4,NA,NA,,NA,NA,NA,NA,0,0,0,0,0,0,0,0,,,Plate002,C2,,,,https://hputnam.github.io/Putnam_Lab_Notebook/PocID_COTS_RAPID_Plate002_003/
21/02/2023,1284,Recruit,Pre_bleach,S1,T4,POC_ID,2,1,1,0.5,0.5,Site_1,Site_1_backup,_20__C,_40_up,YES,YES,1284_S1_T4,2.67,NA,,NA,NA,NA,NA,0,0,1,0,0,0,0,0,,,Plate002,D11,,,,https://hputnam.github.io/Putnam_Lab_Notebook/PocID_COTS_RAPID_Plate002_003/
21/02/2023,1308,Recruit,Pre_bleach,S1,T4,POC_ID,1,1,0,0.5,NA,Site_1,NA,_20__C,NA,NO,YES,1308_S1_T4,0.312,NA,,NA,NA,NA,NA,0,0,1,0,0,0,0,0,,,Plate002,B5,,,,https://hputnam.github.io/Putnam_Lab_Notebook/PocID_COTS_RAPID_Plate002_003/
21/02/2023,1285,Recruit,Pre_bleach,S1,T5,POC_ID,2,1,1,0.5,0.5,Site_1,Site_1_backup,_20__C,_40_up,YES,YES,1285_S1_T5,16.02,NA,,NA,NA,NA,NA,1,0,0,0,0,0,0,0,,,Plate002,D7,,,,https://hputnam.github.io/Putnam_Lab_Notebook/PocID_COTS_RAPID_Plate002_003/
21/02/2023,1287,Recruit,Pre_bleach,S1,T5,POC_ID,2,1,1,0.5,0.5,Site_1,Site_1_backup,_20__C,_40_up,YES,YES,1287_S1_T5,2.058,NA,,NA,NA,NA,NA,0,0,1,0,0,0,0,0,,,Plate002,B4,,,,https://hputnam.github.io/Putnam_Lab_Notebook/PocID_COTS_RAPID_Plate002_003/
21/02/2023,1304,Recruit,Pre_bleach,S1,T5,POC_ID,2,1,1,0.5,0.5,Site_1,Site_1_backup,_20__C,_40_up,YES,YES,1304_S1_T5,8.394,NA,,NA,NA,NA,NA,1,0,0,0,0,0,0,0,,,Plate002,C1,,,,https://hputnam.github.io/Putnam_Lab_Notebook/PocID_COTS_RAPID_Plate002_003/
21/02/2023,1305,Adult,Pre_bleach,S1,T5,POC_ID,2,1,1,0.5,0.5,Site_1,Site_1_backup,_20__C,_40_up,YES,YES,1305_S1_T5,NA,NA,,NA,NA,NA,NA,0,0,0,0,0,0,0,0,,,Plate002,C10,,,,https://hputnam.github.io/Putnam_Lab_Notebook/PocID_COTS_RAPID_Plate002_003/
21/02/2023,1314,Adult,Pre_bleach,S1,T5,POC_ID,2,1,1,0.5,0.5,Site_1,Site_1_backup,_20__C,_40_up,YES,YES,1314_S1_T5,NA,NA,,NA,NA,NA,NA,0,0,0,0,0,0,0,0,,,,,,,,
21/02/2023,1288,Recruit,Pre_bleach,S1,T6,POC_ID,2,1,1,0.5,0.5,Site_1,Site_1_backup,_20__C,_40_up,NO,YES,1288_S1_T6,0.978,NA,,NA,NA,NA,NA,1,0,0,0,0,0,0,0,,,Plate002,F11,,,,https://hputnam.github.io/Putnam_Lab_Notebook/PocID_COTS_RAPID_Plate002_003/
21/02/2023,1289,Recruit,Pre_bleach,S1,T6,POC_ID,2,1,1,0.5,0.5,Site_1,Site_1_backup,_20__C,_40_up,YES,YES,1289_S1_T6,4.188,NA,,NA,NA,NA,NA,0,1,1,0,0,0,0,0,,,Plate002,D8,,,,https://hputnam.github.io/Putnam_Lab_Notebook/PocID_COTS_RAPID_Plate002_003/
